Date                	Time                	Reading             	Alarm               	
7/6/2017            	6:47:35 PM          	60.023 °C           	                    	
7/6/2017            	6:47:45 PM          	60.022 °C           	                    	
7/6/2017            	6:47:58 PM          	60.012 °C           	                    	
7/6/2017            	6:48:05 PM          	60.014 °C           	                    	
7/6/2017            	6:48:15 PM          	60.016 °C           	                    	
7/6/2017            	6:48:25 PM          	60.016 °C           	                    	
7/6/2017            	6:48:38 PM          	60.018 °C           	                    	
7/6/2017            	6:48:45 PM          	60.013 °C           	                    	
7/6/2017            	6:48:55 PM          	60.016 °C           	                    	
7/6/2017            	6:49:05 PM          	60.013 °C           	                    	
7/6/2017            	6:49:18 PM          	60.011 °C           	                    	
7/6/2017            	6:49:25 PM          	60.012 °C           	                    	
7/6/2017            	6:49:35 PM          	60.014 °C           	                    	
7/6/2017            	6:49:45 PM          	60.015 °C           	                    	
7/6/2017            	6:49:58 PM          	60.016 °C           	                    	
7/6/2017            	6:50:05 PM          	60.017 °C           	                    	
7/6/2017            	6:50:15 PM          	60.017 °C           	                    	
7/6/2017            	6:50:25 PM          	60.018 °C           	                    	
7/6/2017            	6:50:38 PM          	60.014 °C           	                    	
7/6/2017            	6:50:45 PM          	60.016 °C           	                    	
7/6/2017            	6:50:55 PM          	60.016 °C           	                    	
7/6/2017            	6:51:05 PM          	60.018 °C           	                    	
7/6/2017            	6:51:19 PM          	60.015 °C           	                    	
7/6/2017            	6:51:25 PM          	60.018 °C           	                    	
7/6/2017            	6:51:35 PM          	60.021 °C           	                    	
7/6/2017            	6:51:45 PM          	60.020 °C           	                    	
7/6/2017            	6:51:59 PM          	60.018 °C           	                    	
7/6/2017            	6:52:05 PM          	60.014 °C           	                    	
7/6/2017            	6:52:15 PM          	60.008 °C           	                    	
7/6/2017            	6:52:25 PM          	60.006 °C           	                    	
7/6/2017            	6:52:35 PM          	60.005 °C           	                    	
7/6/2017            	6:52:45 PM          	60.002 °C           	                    	
7/6/2017            	6:52:55 PM          	60.002 °C           	                    	
7/6/2017            	6:53:06 PM          	59.999 °C           	                    	
7/6/2017            	6:53:15 PM          	59.993 °C           	                    	
7/6/2017            	6:53:25 PM          	60.000 °C           	                    	
7/6/2017            	6:53:35 PM          	60.006 °C           	                    	
7/6/2017            	6:53:46 PM          	60.007 °C           	                    	
7/6/2017            	6:53:55 PM          	60.014 °C           	                    	
7/6/2017            	6:54:05 PM          	60.022 °C           	                    	
7/6/2017            	6:54:15 PM          	60.023 °C           	                    	
7/6/2017            	6:54:26 PM          	60.026 °C           	                    	
7/6/2017            	6:54:35 PM          	60.031 °C           	                    	
7/6/2017            	6:54:45 PM          	60.032 °C           	                    	
7/6/2017            	6:54:55 PM          	60.033 °C           	                    	
7/6/2017            	6:55:06 PM          	60.030 °C           	                    	
7/6/2017            	6:55:15 PM          	60.029 °C           	                    	
7/6/2017            	6:55:25 PM          	60.030 °C           	                    	
7/6/2017            	6:55:35 PM          	60.032 °C           	                    	
7/6/2017            	6:55:46 PM          	60.033 °C           	                    	
7/6/2017            	6:55:55 PM          	60.030 °C           	                    	
7/6/2017            	6:56:05 PM          	60.032 °C           	                    	
7/6/2017            	6:56:15 PM          	60.035 °C           	                    	
7/6/2017            	6:56:26 PM          	60.034 °C           	                    	
7/6/2017            	6:56:35 PM          	60.030 °C           	                    	
7/6/2017            	6:56:45 PM          	60.025 °C           	                    	
7/6/2017            	6:56:55 PM          	60.018 °C           	                    	
7/6/2017            	6:57:07 PM          	60.023 °C           	                    	
7/6/2017            	6:57:15 PM          	60.029 °C           	                    	
7/6/2017            	6:57:25 PM          	60.030 °C           	                    	
7/6/2017            	6:57:35 PM          	60.028 °C           	                    	
7/6/2017            	6:57:47 PM          	60.025 °C           	                    	
7/6/2017            	6:57:55 PM          	60.019 °C           	                    	
7/6/2017            	6:58:05 PM          	60.015 °C           	                    	
7/6/2017            	6:58:15 PM          	60.011 °C           	                    	
7/6/2017            	6:58:27 PM          	60.006 °C           	                    	
7/6/2017            	6:58:35 PM          	60.005 °C           	                    	
7/6/2017            	6:58:45 PM          	60.007 °C           	                    	
7/6/2017            	6:58:55 PM          	60.006 °C           	                    	
7/6/2017            	6:59:07 PM          	60.002 °C           	                    	
7/6/2017            	6:59:15 PM          	60.006 °C           	                    	
7/6/2017            	6:59:25 PM          	60.002 °C           	                    	
7/6/2017            	6:59:35 PM          	59.997 °C           	                    	
7/6/2017            	6:59:47 PM          	60.000 °C           	                    	
7/6/2017            	6:59:55 PM          	59.996 °C           	                    	
7/6/2017            	7:00:05 PM          	59.994 °C           	                    	
7/6/2017            	7:00:15 PM          	59.994 °C           	                    	
7/6/2017            	7:00:27 PM          	59.992 °C           	                    	
7/6/2017            	7:00:35 PM          	59.991 °C           	                    	
7/6/2017            	7:00:45 PM          	59.994 °C           	                    	
7/6/2017            	7:00:55 PM          	59.989 °C           	                    	
7/6/2017            	7:01:07 PM          	59.990 °C           	                    	
7/6/2017            	7:01:15 PM          	59.989 °C           	                    	
7/6/2017            	7:01:25 PM          	59.984 °C           	                    	
7/6/2017            	7:01:35 PM          	59.985 °C           	                    	
7/6/2017            	7:01:47 PM          	59.986 °C           	                    	
7/6/2017            	7:01:55 PM          	59.990 °C           	                    	
7/6/2017            	7:02:05 PM          	59.993 °C           	                    	
7/6/2017            	7:02:15 PM          	59.992 °C           	                    	
7/6/2017            	7:02:27 PM          	59.989 °C           	                    	
7/6/2017            	7:02:35 PM          	59.989 °C           	                    	
7/6/2017            	7:02:45 PM          	59.991 °C           	                    	
7/6/2017            	7:02:55 PM          	59.995 °C           	                    	
7/6/2017            	7:03:07 PM          	60.000 °C           	                    	
7/6/2017            	7:03:15 PM          	59.998 °C           	                    	
7/6/2017            	7:03:25 PM          	59.998 °C           	                    	
7/6/2017            	7:03:35 PM          	59.994 °C           	                    	
7/6/2017            	7:03:47 PM          	59.995 °C           	                    	
